,x,KWH,date,time,days_since_today
82,2023-03-07 14:40:00+01:00,56.816,2023-03-07,14:40:00,9
83,2023-03-07 14:50:00+01:00,56.901333,2023-03-07,14:50:00,9
84,2023-03-07 15:00:00+01:00,56.9085,2023-03-07,15:00:00,9
85,2023-03-07 15:10:00+01:00,56.863834,2023-03-07,15:10:00,9
86,2023-03-07 15:20:00+01:00,56.684834,2023-03-07,15:20:00,9
87,2023-03-07 15:30:00+01:00,56.472332,2023-03-07,15:30:00,9
88,2023-03-07 15:40:00+01:00,56.299,2023-03-07,15:40:00,9
89,2023-03-07 15:50:00+01:00,55.992832,2023-03-07,15:50:00,9
90,2023-03-07 16:00:00+01:00,55.67966,2023-03-07,16:00:00,9
91,2023-03-07 16:10:00+01:00,55.269016,2023-03-07,16:10:00,9
92,2023-03-07 16:20:00+01:00,54.9405,2023-03-07,16:20:00,9
93,2023-03-07 16:30:00+01:00,54.440834,2023-03-07,16:30:00,9
94,2023-03-07 16:40:00+01:00,53.926167,2023-03-07,16:40:00,9
95,2023-03-07 16:50:00+01:00,53.298832,2023-03-07,16:50:00,9
96,2023-03-07 17:00:00+01:00,52.858833,2023-03-07,17:00:00,9
97,2023-03-07 17:10:00+01:00,52.347,2023-03-07,17:10:00,9
98,2023-03-07 17:20:00+01:00,51.75033,2023-03-07,17:20:00,9
99,2023-03-07 17:30:00+01:00,50.773834,2023-03-07,17:30:00,9
100,2023-03-07 17:40:00+01:00,48.1085,2023-03-07,17:40:00,9
101,2023-03-07 17:50:00+01:00,44.48517,2023-03-07,17:50:00,9
102,2023-03-07 18:00:00+01:00,42.047333,2023-03-07,18:00:00,9
103,2023-03-07 18:10:00+01:00,38.621666,2023-03-07,18:10:00,9
104,2023-03-07 18:20:00+01:00,34.79,2023-03-07,18:20:00,9
105,2023-03-07 18:30:00+01:00,31.726667,2023-03-07,18:30:00,9
106,2023-03-07 18:40:00+01:00,29.224,2023-03-07,18:40:00,9
107,2023-03-07 18:50:00+01:00,28.280666,2023-03-07,18:50:00,9
108,2023-03-07 19:00:00+01:00,27.611666,2023-03-07,19:00:00,9
109,2023-03-07 19:10:00+01:00,26.941,2023-03-07,19:10:00,9
110,2023-03-07 19:20:00+01:00,26.213167,2023-03-07,19:20:00,9
111,2023-03-07 19:30:00+01:00,25.591667,2023-03-07,19:30:00,9
112,2023-03-07 19:40:00+01:00,24.913334,2023-03-07,19:40:00,9
113,2023-03-07 19:50:00+01:00,24.17,2023-03-07,19:50:00,9
114,2023-03-07 20:00:00+01:00,23.6725,2023-03-07,20:00:00,9
115,2023-03-07 20:10:00+01:00,23.161833,2023-03-07,20:10:00,9
116,2023-03-07 20:20:00+01:00,22.459833,2023-03-07,20:20:00,9
117,2023-03-07 20:30:00+01:00,21.608475,2023-03-07,20:30:00,9
118,2023-03-07 20:40:00+01:00,19.506721,2023-03-07,20:40:00,9
119,2023-03-07 20:50:00+01:00,18.646166,2023-03-07,20:50:00,9
120,2023-03-07 21:00:00+01:00,18.072,2023-03-07,21:00:00,9
121,2023-03-07 21:10:00+01:00,17.356833,2023-03-07,21:10:00,9
122,2023-03-07 21:20:00+01:00,16.646833,2023-03-07,21:20:00,9
123,2023-03-07 21:30:00+01:00,16.007833,2023-03-07,21:30:00,9
124,2023-03-07 21:40:00+01:00,15.385,2023-03-07,21:40:00,9
125,2023-03-07 21:50:00+01:00,14.496834,2023-03-07,21:50:00,9
126,2023-03-07 22:00:00+01:00,13.507667,2023-03-07,22:00:00,9
127,2023-03-07 22:10:00+01:00,12.754,2023-03-07,22:10:00,9
128,2023-03-07 22:20:00+01:00,11.954667,2023-03-07,22:20:00,9
129,2023-03-07 22:30:00+01:00,11.158334,2023-03-07,22:30:00,9
130,2023-03-07 22:40:00+01:00,10.458333,2023-03-07,22:40:00,9
131,2023-03-07 22:50:00+01:00,9.739166,2023-03-07,22:50:00,9
132,2023-03-07 23:00:00+01:00,9.0715,2023-03-07,23:00:00,9
133,2023-03-07 23:10:00+01:00,8.415833,2023-03-07,23:10:00,9
134,2023-03-07 23:20:00+01:00,7.8886666,2023-03-07,23:20:00,9
135,2023-03-07 23:30:00+01:00,7.3776665,2023-03-07,23:30:00,9
136,2023-03-07 23:40:00+01:00,6.7621665,2023-03-07,23:40:00,9
137,2023-03-07 23:50:00+01:00,6.102,2023-03-07,23:50:00,9
138,2023-03-08 00:00:00+01:00,5.4698334,2023-03-08,00:00:00,8
139,2023-03-08 00:10:00+01:00,4.8305,2023-03-08,00:10:00,8
140,2023-03-08 00:20:00+01:00,4.2426667,2023-03-08,00:20:00,8
141,2023-03-08 00:30:00+01:00,3.7108333,2023-03-08,00:30:00,8
142,2023-03-08 00:40:00+01:00,0.514,2023-03-08,00:40:00,8
143,2023-03-08 00:50:00+01:00,0.0,2023-03-08,00:50:00,8
144,2023-03-08 01:00:00+01:00,0.0,2023-03-08,01:00:00,8
145,2023-03-08 01:10:00+01:00,0.0,2023-03-08,01:10:00,8
146,2023-03-08 01:20:00+01:00,0.0,2023-03-08,01:20:00,8
147,2023-03-08 01:30:00+01:00,0.0,2023-03-08,01:30:00,8
148,2023-03-08 01:40:00+01:00,0.0,2023-03-08,01:40:00,8
149,2023-03-08 01:50:00+01:00,0.0,2023-03-08,01:50:00,8
150,2023-03-08 02:00:00+01:00,0.0,2023-03-08,02:00:00,8
151,2023-03-08 02:10:00+01:00,0.0,2023-03-08,02:10:00,8
152,2023-03-08 02:20:00+01:00,0.0,2023-03-08,02:20:00,8
153,2023-03-08 02:30:00+01:00,0.0,2023-03-08,02:30:00,8
154,2023-03-08 02:40:00+01:00,0.0,2023-03-08,02:40:00,8
155,2023-03-08 02:50:00+01:00,0.0,2023-03-08,02:50:00,8
156,2023-03-08 03:00:00+01:00,0.0,2023-03-08,03:00:00,8
157,2023-03-08 03:10:00+01:00,0.0,2023-03-08,03:10:00,8
